CHANGE_ANALYST,CHANGE_NO,CHANGE_DESCRITPION,REASON_FOR_CHANGE,CCB_SUBMIT_DATE
Girija Amaragol,DEV-25282,"Prod: This DEV is to allow FOXCONN-VIETNAM to use material with old DC over 5 years to support production build based on good result of solderability test.
1. JPN 220-047531
Description: Res, 2512, 0.003 Ohm, 1%, 2W
MPN: PMR100HZPFV3L00
Supplier: ROHM
Site balance: PCG (JNP Hub)
Total Qty to use: 70 pcs
Date code: 1836

2. JPN 310-077759
Description: IC, PHY, VSC8584, GbE Quad Phy, Macsec256, 1.0V, BGA-256, 17X17mm, SAC305
MPN: VSC8584XKS-11
Supplier: MICROCHIP TECHNOLOGY
Site balance: PCG (JNP Hub)
Total Qty to use: 110 pcs
Date code: 1908

3. JPN 310-080446
Description: IC, LTC3887, I Grade, Digital PWM Controller, 4.5V-24Vin, 0.5V-5.5Vout, QFN-40, 6X6mm
MPN: LTC3887IUJ#TRPBF
Supplier: ANALOG DEVICES
Site balance: PCG (JNP Hub)
Total Qty to use: 298 pcs
Date code: 1909",To allow FOXCONN-VIETNAM to use material with DC over 5 years to support production build based on good result of solderability test,45:32.0
Sarangabani S,DEV-25299,"Prod: This DEV is to allow Flex Penang to use old date code part 310-134378 from INTEL from  ARROW GLOBAL SUPPLY CHAIN SERVICES INC (ARROW 3PL) to support immediate shortages. For BGA, no solderability test report for component level. Flex will maintain the record of aged BGA during production loading.  

JPN: 310-134378 
MPN: FH8068604436405S RM1C
MFR: INTEL
DC/QTY: 
2247 - 189pcs
2249 - 31pcs

No deviation label required.",This DEV is to allow Flex Penang to use old date code part to support production build.,41:56.0
Sherry Nguyen,DEV-25187,"Prod: This Deviation allows CMY to use and ship 10qty PSU JPN:640-171878, Rev 03 for the below-mentioned PSU details. These 10 PSUs have labels containing additional safety/compliance logos UL CE UKCA FCC VCCI RCM S-TUV + CCC BSMI KCC +EAC compared to the initial shipment batch of Rev S4 labels that had S4 + UL CE UKCA FCC VCCI RCM S-TUV logos.

Vendor: Delta
JPN:640-171878, Rev: 03
MPN:DPS-340AB-4 A S4

SN number list for 10 qty PSU allowed to ship with additional logs as described is listed below-

1EHHE4300FB
1EHHE4300FD
1EHHE4300FE
1EHHE4300FF
1EHHE4300FG
1EHHE4300FJ
1EHHE4300F0
1EHHE4300F4
1EHHE4300FS
1EHHE4300G6

UL certificates and COC reports are completed and available in Agile under DPS-340AB-4 A S5.

PSU label (MPN: DPS-340AB-4 A S4) should have all the logos UL CE UKCA FCC VCCI RCM S-TUV + CCC BSMI KCC +EAC per the attached sample label picture.","To support China customer shipment CMY is using existing S4 labels with added UL CE UKCA FCC VCCI RCM S-TUV + CCC BSMI KCC +EAC. Since MPN Rev. S5 (JPN Rev. 04) PSUs with CCC mark are not yet available at CMY and ECO-60942 is in CCB stage. CCC, BSMI, KCC along with few more safety logos are getting added into MPN Rev. S5 (JPN Rev. 04) under ECO-60942.",01:51.0
Sarangabani S,ECO-61219,"Prototype:  Octomore PMB 
Release the following:
[1].  BOM: 711-173946, REV05
[2].  SCHEM: SCH-182293, REV04
[3].  560-188261 (Boot CPLD)
[4].  560-188273 (Boot CPLD golden image SPI Flash)
[5].  560-188539 (v33.05 BIOS Primary image)
[6].  560-188560 (v33.05 BIOS Golden image)","Needed BOM changes per P1A debug efforts:
[1].  Adding CPU WAFL-ZVSS resistors. 
[2].  Removing J2001 debug connector.  
[3].  Releasing the new BIOS firmware, which includes the AMD CPU PCIe Link ID fix.  
[4].  Releasing the new Boot CPLD, which includes the updated power-up sequence for the Aldrin ethernet switch.
[5].  Removing unused debug SFP circuit.
[6].  Removing unused GND clips.",07:34.0
Richard Hood,ECO-60467,"Prod: SKU's, SRX-GreatWall: Update per the Affected Items Section.

MODEL NUMBERS:
SRX4100-AC
SRX4100-CHAS
SRX4100-DC
SRX4100-SYS-JB-AC
SRX4100-SYS-JB-DC
SRX4100-SYS-JE-AC
SRX4100-SYS-JE-DC
SRX4200-AC
SRX4200-CHAS
SRX4200-DC
SRX4200-SYS-JB-AC
SRX4200-SYS-JB-DC
SRX4200-SYS-JE-AC
SRX4200-SYS-JE-DC

- DELETE 811-158888.
- ADD 811-187534.

Routine factory shipping OS version update - from 21.2R3-S2.9 to 23.4R2-S3.9. validation results attached.",Routine Factory shipping OS to later hardened version.,03:47.0
Sherry Nguyen,ECO-61067,"Prod: Reactivate Document J2.05.P05.W27: Business Process, Agile Environmental Compliance Field Controls. Update per the Affected Items Section.

J2.05.P05.W27: Rev 03

1] Document name is updated From - "" Business Process, Agile ROHS Field Controls"" to ""Business Process, Agile Environmental Compliance Field Controls"" to accommodate both RoHS and REACH. 

2] Removed RoHS Exemption (CE Input) from Quick Reference Table

3] Removed QPoint RoHS Exemption(s) Escalation resolution

4] Removed Redmine Ticket Creation/ Edit Rules

5] Removed Technical Risk section

6] Removed Component Life Cycle Status & Component Life Cycle Status Date-Stamp section

7] Removed RoHS Availability Date section

8] Removed BOM Risk Roll Up section

9] Removed RoHS Disposition

10] Removed Pb Free PCBA Assembly Process Compatible

11] Updated Roll-Up Automation Rules

12] Included Determining “Least Common Denominator"" for REACH

13] Add RoHS Part Classification table",Agile Environmental Compliance Field Controls document has been updated with RoHS and REACH field details and automation script logic.,55:06.0
Prameela R,ECO-61448,"Prod: Update Test Requirement Documents to update to add Management Port 0 (Ethernet0) MAC address capture requirement.

Release the revised proc document:
PROC-9588: Rev 09
PROC-9604: Rev 10
PROC-9690: Rev 08
PROC-9794: Rev 04
PROC-9826: Rev 09
PROC-9928: Rev 07
PROC-9965: Rev 06",Support to provide Management Port 0 (Ethernet0) MAC address data to Juniper's end-customers.,04:45.0
Sherry Nguyen,M38255,"Prelim_BOM: Plugfest(Optics);QFX-Garnet. Update per the Affected Items Section.

1. Change the Clarity ID number on these SKUs to JPR13688.

QDD-2X400G-VR4-P
OSFP-2X400G-DR4

PDC Note: PDC will update the Clarity ID number before release of this MCO.",Change the Clarity ID number.,34:38.0
Girija Amaragol,M38751,"Prelim_BOM: MCO to update AVL as illustrated below

1). Adding Laird Technologies MPN under respective JPN to ""Comp_IPQ"" status

420-174870 => LAIRD TECHNOLOGIES => JUN-LT23NA3742

2). Removing Laird Technologies MPN under respective JPN

420-174870 => LAIRD TECHNOLOGIES => 420-174870

3). Please add Laird Technologies drawing under corresponding JPN level attachment of 420-174870 (JPN, MPN and MFR mentioned in Datasheet title). Currently available in MCO attachment","1. Replacing existing Laird Technologies MPN with correct orderable one

2. Adding supplier drawing under JPN level attachment for broader visibility",47:40.0
Sherry Nguyen,M38725,"Prod: MX-Obsidian: Update per the Affected Items Section.

740-168322:  

The purpose of this MCO is to roll up MPN revision for updating to soft terminal MLCC. 

Hardware:
Old:
Yageo 100pF/50V 0402 - usual MLCC.

New: 
Yageo 100pF/50V 0402 - Soft terminal MLCC.

- Add New MPN rev DCJ78002-01 REV: C to Active. 

- Move the Old MPN rev LC to Deplete. Also update the Technical Risk Reason to ""3 - Other reasons""

Note : PDC will update the tech risk before releasing the MCO.",Adding new MPN rev to Active and updating technical risk reason,08:36.0
Girija Amaragol,M38750,"Prod: MCO to update AVL as illustrated below

Adding Foxconn NWE2-Vietnam MPN under respective JPN to ""Active"" status

760-046576 => FOXCONN NWE2-VIETNAM => 760-046576",Adding Foxconn NWE2-Vietnam to the AVL as part of sourcing localization,41:10.0
Abel Alcantar,DEV-25255,"Prod: 740-093813, Assy, OEM, DRAM, RDIMM, DDR4-2400, 4GB, 512Mx72, 1200MHz, Single Rank, Registered, ECC, 288P, 1.2V, CT: The purpose of this Deviation is to allow Accton Taiwan to make the following part substitutions for qualification purposes.

A. Qual Assemblies:

740-093813->650-097090->650-097091->SRX380-P-SYS-JB-AC (Total Assy Qty=4)

B. Sample Procurement Instructions:
Accton Taiwan to place PO based on quote with pricing and MOQ provided by appropriate Juniper GCM. Mfg Partner to contact Juniper GCM found in Agile under “Commodity Manager” field under the respective Qual JPN. In all emails to GCM, please also copy CEs, found in Agile under “Component Engineer” and “Context Component Engineer” fields of the Qual JPN along with the DEV Originator.

C. Factory Instructions:

C1>. Qualification build:
Replace JPN:740-093813 with ATP: D44G00RD2681GSC-JNP1 at location, CONN13 on the following assembly:
   1. SRX380:  650-097090->650-097091->SRX380-P-SYS-JB-AC - Required Assy Qty two(2). Label these assemblies as GROUP-1.

Replace JPN:740-093813 with Innodisk: M4RE-4GSSACIK-GB553 at location, CONN13 on the following assembly:
   1. SRX380:  650-097090->650-097091->SRX380-P-SYS-JB-AC - Required Assy Qty two(2). Label these assemblies as GROUP-2.

C1B>. All Qual Assemblies need to go through full MFG test prior to DVT test at CM.
   GROUP-1: SRX380: 650-097090->650-097091->SRX380-P-SYS-JB-AC - Required Test Qty two(2).
   GROUP-2: SRX380: 650-097090->650-097091->SRX380-P-SYS-JB-AC - Required Test Qty two(2).

C1C>. DVT at CM for:
   GROUP-1: SRX380: 650-097090->650-097091->SRX380-P-SYS-JB-AC - Required Test Qty one(1).
   GROUP-2: SRX380: 650-097090->650-097091->SRX380-P-SYS-JB-AC - Required Test Qty one(1).

C1D>. SW CERT at Juniper for:
   GROUP-1: SRX380: 650-097090->650-097091->SRX380-P-SYS-JB-AC - Required Test Qty one(1).
   GROUP-2: SRX380: 650-097090->650-097091->SRX380-P-SYS-JB-AC - Required Test Qty one(1).
    *NOTE:  See Special Instructions Section of DEV for shipping directions.

C2. Qualification boards will be new build or FGI.

C3. Qualification units need to go through standard manufacturing and Test processes with the following specific actions:
- Install DEV-25255 on all qual sample assemblies.
- Record all serial numbers with DEV label and put on the NO SHIP list.
- Send the product test yield reports as soon as all units have completed Mfg tests to CM-DVT-HTR-reports@juniper.net, mlemeshow@juniper.net and the DEV Originator.  
- Ensure email header subject line indicates the Qual DEV#, JPN, when shipped to Juniper testing.

C4. The qualification assembly, not used for DVT, shall be shipped to Juniper (see Special Instructions) as soon as the required number of units have passed Mfg Test, prior to DVT.

C5. Perform DVT, as per the Accton Qual Plan.
Please email Accton Qual Plan to CM-DVT-HTR-reports@juniper.net and mlemeshow@uniper.net for Approval and copy DEV originator before performing DVT.  Once approved, Qual plan will be added to DEV.

C6. After completion of DVT, prepare and review HTR report. Email report to CM-DVT-HTR-reports@juniper.net, mlemeshow@juniper.net, and DEV Originator. Ensure email header subject line indicates the Qual JPN, Qual MFR and the DEV#.

D. Completion / Closure:
The qualification units are not to be used for any other DVT and customer shipments until the qualification has been fully completed by Juniper, reports reviewed and an ECO / MCO has been signed off.",Qualification of replacement memory modules due to Samsung announced EOL on the D1x node DDR4 DRAM.,43:58.0
Abel Alcantar,DEV-24896A,"Proto: PTX-Octomore: 711-173321 Assy, PCA, 43.2T BXF-based 54x 800G OSFP, PTX-Octomore. This deviation authorizes flex to make the following changes to the TeelngLC P1B1 build.

Instructions:
- Take 4 LC boards to measure shadow moire for BXF Post SMT die flatness at locations U10000, U20000, and U30000.
- Perform Die moire post-edge bonding process.

- Place the press-fit connectors after Shadow moire analysis to avoid z-height interference.

- Perform AOI inspection before and after shadow moire analysis.

Share the report with Juniper.

Take the last 4 LCs from the 37 pcs build.

Special Instructions:
- Affix the DEV-24896 label on the board.
- Track the affected SNs.","REASON FOR EXTENSION (A): Build still in progress. New ""Effective To"" Date: 04/01/2025

This effort is being asked by a FAE team to develop a single heatsink design idea for Octomore BXFs and future ASICs.",19:31.0
Girija Amaragol,DEV-22478E,"Prod: The purpose of this Deviation is to allow FLEXTRONICS to make the following part substitutions for qualification purposes.

a. Use the following assemblies:
   i.   240-054786 -> 711-054743 -> 750-067396 -> 750-052075 -> FPC3-PTX-U3; at location: Y2
   ii.  240-054786 -> 711-072984 -> 750-087304 -> 750-093524 -> JNP10K-LC1201; at location: Y1202
   iii. 240-054786 -> 711-073390 -> 750-073391 -> 750-084779 -> JNP10K-LC2101; at location: Y2
b. Substitute Rakon MPN: 105992 for JPN: 240-054786 in above assemblies at locations indicated.
c. Build Qty: Five units of each assembly.

                              FPC3-PTX-U3  JNP10K-LC1201  JNP10K-LC2101
CMDVT                       4                            4      		          4
Software Cert              1                            1	         	           1
-----------------------------------------------------------------------------------------
TOTAL                       5                           5                         5
------------------------------------------------------------------------------------------

Please update test plan:
1.  Qual boards must be new build. No rework is allowed. 
2.  Install label marked DEV-22478 on all affected boards.
3.  Record all serial numbers on the DEV-22478 and put them on NO SHIP list.
4.  All qual boards are required to go through the standard Mfg. test process. 
5.  Upon successful completion of Mfg. test, run DVT on one each of the above two units.
    a. PROC-8423 is applicable for products released before 2020.
    b. PROC-9980 is applicable for products that FRS during and after 2020.
6.  After Manufacturing tests, ship one unit each to address indicated below:

           Juniper Networks Inc  
           2200 M St NE
           Quincy, WA 98848, USA
           Attention: Peter Garcia pgarcia@juniper.net

           Please notify by email when shipped: pgarcia@juniper.net, pallawij@juniper.net, rpt-reg-hw-sustaining@juniper.net7. 

7.  Send HTR/DVT report to DVT report review alias - CM-DVT-HTR-reports CM-DVT-HTR-reports@juniper.net.
8.  All qualified boards are not to be used for customer shipment unless and until the qualification has been fully completed by Juniper approval. Once testing approved, boards will be released back to production flow for customer shipment.","REASON FOR EXTENSION (E): 02/25/2025: activity still on going for DVT test.

REASON FOR EXTENSION (D): 11/25/2024: Qual in-progress.

REASON FOR EXTENSION (C): 08/25/2024: Qual in-progress need extension, estimate completion will be on June'24 

REASON FOR EXTENSION (B): 05/25/2024: this DEV as Qual in-progress, Estimate completion will be on End of March'24. (Requested by Qual PIC-Nava)

Reason for extension (A): 02/25/2024: DEV as Qual in-progress. Estimate completion date will be on End of Dec'23

Qualification of alternate source",17:54.0
Sherry Nguyen,M38758A,"***Revert back on 01/23/2025***

Restore to EOS (Obsolete) from EOL (Inactive)

Question	Answer
Customer/ Partner	Juniper CS
SKU(s)	 See the attached
Description of product	 See the attached
Quantity Requested	04
Reason for Reactivation 	CSS EOS return
Requestor	Sigeon Richard A
Reason: 	To process internal transactions
PDC Action:	Temporarily change material status from EOS to EOL",Closure of EOL Reactivation for CS EOS Returns,08:28.0
Sherry Nguyen,DEV-25266,Proto: This deviation is being issued to have Flextronics install the fan trays and power shelf to the Octomore chassis prior to shipping them to Juniper.,The Juniper development teams have requested to receive their chassis with the fan trays and power shelves installed.,51:14.0
Richard Hood,DEV-24976,"Proto: PTX-Aegon: Applying TPCM7200 TIM to BF Die and baking Aegon SIB8: This Deviation to instruct Flextronics-Penang to perform the following:

750-182304 Assy, Top, SIB-8, Decoupled RT Heatsink, PTX-Aegon
711-136651 Assy, PCA, SIB-8, PTX-Aegon
430-181131 Heatsink, Vapor Chamber, Al, 4mm, 100 x 130mm, 2mm, BF, PTX-Aegon
430-182806 PCM,TIM PAD,19.4x27mm,Tpcm 7200, 0.2mm thick, BXF fabric

Flextronics-Penang (FMY) to follow the following process for the Tpcm 7200 TIM application to BF die surface. This activity is to be performed on the remaining P2A2 SIBs that have not yet started mechanical assembly.

1. Clean the BF H/S's and the ASIC die surfaces 
2. Trim 430-182806 to 17.5x25.5mm 
3. Apply the Tpcm7200 trimmed TIM pads onto the BF die, care should be taken not to tear the TIM pads or form air pockets.
4. Mount the H/S's per the assembly steps of the assembly drawing.
5. Assemble the rest of the 750- assembly without the top cover 
6. Bake the units as below to allow the Tpcm to soften to eliminate the air voids and achieve the targeted TIM bond line
a) Ramp from 25 to 75 C at 2 degrees C/minute, 25 minutes
b) Soak at 75C for 2 hours
c) Ramp down using Ambient Temperature
d) Total Profile Time:  2 Hours 50 Minutes
e) Use only the Juniper approved burn-in ovens and the ramp-up / ramp-down temperature profiles.
7. Complete the rest of the 750 SIB8 assembly and process the units to the BFT1 test 
8. Before BFT2, put the SIBs in the chassis in the Hot Box and power on the chassis.
- Allow the hot box to reach 40C and let stand until temperatures normalize.
- Run the thermal screen using instructions per DEV-24644
- Record the logs and provide them to Juniper thermal engineering team.
9. Upon passing the screen, continue through normal test flow.
10. Apply deviation label.

NOTE: All the serial numbers of the BF 750- and the 750- electro-mechanical assemblies must be logged along with the Temperature screening, BFT1 and BFT2 test results and provided to Juniper thermal engineering team. Apply Deviation Label.",Factory DOE shows better yield when attaching the TCPM to the die surface.,12:10.0
Abel Alcantar,DEV-25305,"Prod: 740-136691, Assy, OEM, DRAM, SODIMM, DDR4-2400, 8GB, 1Gx72, 1200MHz, Single Rank, Unbuffered, ECC, 260P, 1.2V, I-Temp: The purpose of this Deviation is to allow Accton Taiwan to make the following part substitutions for qualification purposes.

A. Qual Assemblies:

650-136135->650-136157->ACX7024-DC-2PSU - Required Assy Qty two(2)

B. Sample Procurement Instructions:
Accton Taiwan to place PO based on quote with pricing and MOQ provided by appropriate Juniper GCM. Mfg Partner to contact Juniper GCM found in Agile under “Commodity Manager” field under the respective Qual JPN. In all emails to GCM, please also copy CEs, found in Agile under “Component Engineer” and “Context Component Engineer” fields of the Qual JPN along with the DEV Originator.

C. Factory Instructions:

C1>. Qualification build:
REPLACE JPN:740-136691, ATP: X4F08QD8BNRCMW-R-JP1 with SMART: SRI721G8JNP26MSASG at all locations on the following assembly:
   1.  650-136135->650-136157->ACX7024-DC-2PSU - Required Assy Qty two(2).

C1B>. All Qual Assemblies need to go through full MFG test prior to DVT test at ODM.
   1.  650-136135->650-136157->ACX7024-DC-2PSU - Required Test Qty two(2).

C1C>. DVT at ODM for:
   1.  650-136135->650-136157->ACX7024-DC-2PSU - Required Test Qty one(1).

C1D>. SW CERT at Juniper for:
   1.  650-136135->650-136157->ACX7024-DC-2PSU - Required Test Qty one(1).
    *NOTE:  See Special Instructions Section of DEV for shipping directions.

C2. Qualification boards will be new build or FGI.

C3. Qualification units need to go through standard manufacturing and Test processes with the following specific actions:
- Install DEV-25305 on all qual sample assemblies.
- Record all serial numbers with DEV label and put on the NO SHIP list.
- Send the product test yield reports as soon as all units have completed Mfg tests to CM-DVT-HTR-reports@juniper.net, mlemeshow@juniper.net and the DEV Originator.  
- Ensure email header subject line indicates the Qual DEV#, JPN, when shipped to Juniper testing.

C4. The qualification assembly, not used for DVT, shall be shipped to Juniper (see Special Instructions) as soon as the required number of units have passed Mfg Test, prior to DVT

C5. Perform DVT, as per the Accton Qual Plan.
Please email Accton Qual Plan to CM-DVT-HTR-reports@juniper.net and mlemeshow@uniper.net for Approval and copy DEV originator before performing DVT.  Once approved, Qual plan will be added to DEV.

C6. After completion of DVT, prepare and review HTR report. Email report to CM-DVT-HTR-reports@juniper.net, mlemeshow@juniper.net, and DEV Originator. Ensure email header subject line indicates the Qual JPN, Qual MFR",Qualification of replacement memory modules due to Samsung announced EOL on the D1x node DDR4 DRAM.,07:20.0
Sherry Nguyen,DEV-25307,"Prod: Soft Deviation: This DEV is to allow Foxconn Vietnam to consume ENIG PCBs >24mths. FVN must bake the PCBs and ensure acceptable solderability per Juniper 165-00068 requirements prior to use. Reports were provided and are attached to this DEV.

JPN: 511-049243 --> 711-046904 --> 750-049846/750-063461 --> EX9200-20F-MIC
MPN: 511-049243
MFR: WUS
Qty: 87
DC: 2248

JPN: 511-049244 --> 711-046907 --> 750-049846/750-063461 --> EX9200-20F-MIC
MPN: 511-049244 
MFR: WUS
Qty: 40 + 121
DC: 2234, 2235

MANDATORY REQUIREMENTS for FVN:
- Perform incoming part inspection with record of HIC.
- Perform proper baking and solderability testing as per 165-00068 (section 5.8.3 & 5.10). Additionally, visually inspect sample for signs of delam.
- Solderability testing is required for each supplier/date code.
- Provide solderability testing result to Juniper CE for review before running product (complete).
- Record all SNs for tracking.
- FVN to run units through standard production and testing.
- FVN to report any abnormality to Juniper PCB team immediately.",Soft Deviation required to use old date code material; ENIG PCBs are >24 but </=30 mths at time of use.,34:44.0
Girija Amaragol,ECO-61373,"Preliminary Bom: Accessory SKUs for Google Bundle

Creating and releasing the following SKUs to Prelim BOM Lifecycle. Rev 0A:

CBL-PWR-RGD-S-SYS
JPSU-H-120W-E-DC

Note::Refer attached product number key field validation report for ease of viewing product number attributes.",As per SST Request 0003042,48:56.0
Richard Hood,ECO-61394,"Prod: 650-078097, 650-078098 ODM, Assy, Top, EX2300-Martini Royale: Update per the Affected Items Section.

1. Rating label - 520-099193 rev 02A, change lifecycle phase from ""Inactive"" to ""Production"".

2. 650-078097, 650-078098:
- Add label 520-099193.
- Updated Hybrid BOM files attached.

3. EX2300-24MP, EX2300-24MP-TAA, EX2300-48MP, EX2300-48MP-TAA:
- Rev to Track.","1. Rating label - 520-099193 rev 02 release back to Production status.
2. Update label for 650-078097, 650-078098 to replace China CCC mark with CQC mark from rating labels and along with remove CCC marks Homologation Marking requirement.",47:46.0
Sherry Nguyen,ECO-61075,"Prod: PROC-9136; Procedure, Product & Facility ID list for 12 Digit Chassis Serial Number Format.

PROC-9136: Rev 54

-Added Product IDs JK to JT for the Garnet Stage-2 64OD/QD, ORV3 SKUs of 32QD/OD, ORV3 SKUs of 64OD/QD and Fan Spares Garnet 1RU & 2RU Fan Spares.

- For Garnet Stage-2 32OD/QD, SKUs number are updated as per agile.

- Program Name changed in product family column from ‘Garnet Stage 2' to ‘Garnet 2' for 32OD & QD SKUs. Added Airflow-In SKUs in SKUs list of 32OD/32QD SKUs list.

-Added Product ID's ‘JU"" through ‘JZ' for Old monk project.",Added product IDs for new NPI (Garnet Stage 2 64OD/QD) and Old monk products,42:46.0
Richard Hood,ECO-61389,"Prod: SKU's, EX4300-48MP, QFX5120-32C: Update per the Affected Items Section.

Replace existing Junos with new Junos 21.4R3-S8.5 for EX4300-MP and 23.4R2-S2.1 for QFX5120-32C.

1. EX4300-MP SKUs:
-----------------------------
EX4300-48MP 
EX4300-48MP-S 
EX4300-48MP-TAA 

For above impacted SKUs:
- Delete Junos: 21.4R3-S6.5. Software P/N: 811-180160. Filename: install-media-host-usb-ex-4300mp-x86-64-21.4R3-S6.5-secure.img
- Add Junos: 21.4R3-S8.5. Software P/N: 811-184246. Filename: install-media-host-usb-ex-4300mp-x86-64-21.4R3-S8.5-secure.img

2. QFX5120-32C SKUs:
--------------------------------
QFX5120-32C-AFI 
QFX5120-32C-AFO 
QFX5120-32C-CHAS 
QFX5120-32C-DC-AFI 
QFX5120-32C-DC-AFO 

For above impacted SKUs:
- Delete Junos: 22.2R2-S1.5. Software P/N: 811-167008. Filename: install-media-host-usb-qfx-5e-flex-x86-64-22.2R2-S1.5-secure.img
- Add Junos: 23.4R2-S2.1. Software P/N: 811-185208. Filename: install-media-host-usb-qfx-5e-flex-x86-64-23.4R2-S2.1-secure.img

3. QFX5120-32C TAA SKUs:
--------------------------------------
QFX5120-32C-AFI-T 
QFX5120-32C-AFO-T 

For above impacted SKUs:
- Delete Junos: 22.2R2-S1.5. Software P/N: 811-167009. Filename: install-media-host-usb-qfx-5e-x86-64-22.2R2-S1.5-secure.img
- Add Junos: 23.4R2-S2.1. Software P/N: 811-185209. Filename: install-media-host-usb-qfx-5e-x86-64-23.4R2-S2.1-secure.img

Notes:
1. Validation pass log at factory is in ""Attachments"" tab.  
2. *.cap file can be opened by Wordpad if the pass log is in *.cap format.
3. Encountered missing ""hostvar"" parameter during ‘show system storage’. SW engineering advised that the removal of ""hostvar"" was intended as per PR: 1703067.",Update EX4300-48MP and QFX5120-32C SKU's with new Junos as per SW engineering recommendation.,45:41.0
Pooja Siraskar,M38769,"Prod: MCO to update Product Type Code for the following JPNs to “41-HW “ 

740-128524
740-034568

PDC Action: PDC to update the Product type code to “41-HW “post CCB Approval, prior to MCO Release.
No approvers required in CM Confirmation, Implement directly.",PTC Update,50:52.0
Sherry Nguyen,DEV-25262,"Proto: 750-151177  Assy, Top, JNP10K RE3-256, MX-McLaren

This DEV is to allow Flex Penang to implement the following on  MX-McLaren assembly P2A2 build.

Proto: P2A2  
Build Qty: 42

1.) PN 740-164747: 
          - Build 15 boards with Swissbit (MPN: SN3002MD400GI-2MA2-3FA-JUN)
          - Build 27 board with Virtium (MPN: VTPM28ADCI400-BJ220005)

2.) Build 4 boards with old MPS parts below:
          - Use 310-153358 in place of 310-184202 
          - Use 310-157941	in place of 310-184375
          - Use 310-152205	in place of 310-184895

3.) Second Source Qualification Boards:
          - Build 2 boards with MOLEX cage (MPN: 1001122119) & MOLEX connector (MPN: 170382-0003)
          - Build 2 boards with TE cage (MPN: 2274001-1) & TE connector (MPN: 2170088-1)
          - Build 2 boards with MOLEX cage (MPN: 1001122119) & TE connector (MPN: 2170088-1)
          - Build 2 boards with TE cage (MPN: 2274001-1) & MOLEX connector (MPN: 170382-0003)

          - Ensure these boards are built with half Virtium & half Swissbit SSDs (PN 740-164747)
          - Build 4 boards with DIODES, INC. (JPN, 240-126496, MPN: FL2500316Z)
          - Build 4 boards with MICROCHIP (JPN, 240-126496, MPN: VXM7-1372-25M0000000TR)
          - Build 4 boards with AMPHENOL (JPN, 450-054216, MPN: 10124677-0011103LF)
          - Build 4 boards with FOXCONN (JPN, 450-054216, MPN: AH58893-T9B20-2F)

4.) Time Zero Analysis - units stay in FMY for validation activities
          - Allocate 2 boards at 711-PN for Time Zero Analysis (Primary/Force Rework)

5.) Remove 310-147987, add 310-149781. For 310-149781 – OH date code 2225.
    
Note:
- Apply ""DEV-25262"" label on the clear area of the board.
- FMY to track and record affected Serial Numbers",Multi-source qualification and availability of the above parts. Allocation for Time Zero analysis.,33:14.0
Girija Amaragol,DEV-25152A,"Prod: Risk Build and Shipment Deviation affecting JPN: 740-151172, (QCS MPN DCK22002-03), Gamora DC power supplies.

Background: QCS reported cracks on the green plastic handle produced by Kangyang. QCS handle P/N: 25312-310, Kangyang MPN: HAND-53V03(GR). This is used in the Gamora DC power supplies. Initial reported rejection rate is ~9.3%, refer to the attached report.

In support of Juniper's Q1-2025 shipment requirement, this DEV-25152 provides conditional approval to QCS to proceed building and shipping the below listed power supply to FVN. 

This DEV is effective for a limited Additional Qty of 1200 pcs.

a. JPN: 740-151172 Rev. 02
b. MPN: DCK22002-03
c. Vendor: QCS-MUMBAI

1. QCS to proceed with the risk build and shipment after performing some reliability testing, inspection and rework. Please reference the attached QCS SOP document.
a. Perform 100% replacement of all Kangyang handles, further inspect/check for any cracks.
b. Using lower torque, rework/replace/mount the two screws for the handle using bigger diameter screw heads.
Reminder: Avoid multiple assembly/disassembly of screws as it will strip the threaded hole and screw will not have any material to bite into and get torqued.
c. Inspect the fully assembled handle into the power supplies under 20x magnification, check for cracks.  

2. QCS to perform additional tests on the above reworked power supplies.
a. Total of 50 samples, thermal cycling test using the profile described on Step-6, page 7 of the attached QCS SOP. After completion, inspect and report the results to Juniper.
b. Refer to filename: ""DCK22002-03 THERMAL CYCLING TEST REPORT FOR HANDLE CHECK.XLSX""in the Attachments folder.

3. QCS to provide the list of S/Ns for the affected 1200 pcs power supplies. (attached 396 units, additional 804 pcs to provide when available)

4. Foxconn Vietnam to receive, use and ship this total batch of 1200 power supplies, to fulfill orders per normal customer requirements.

Notes:
• QCS: No dev label is required for the 1200 power supplies.
• Refer to the Attachments folder for all the relevant reports allowing and supporting the release of this DEV-25152A",""" Background - QCS reported cracks on the green plastic handle produced by Kangyang. QCS handle P/N: 25312-310, Kangyang MPN: HAND-53V03(GR). This is used in the Gamora DC power supplies. Initial reported rejection rate is ~9.3%, refer to the attached report."" This DEV-25152A provides authorization to QCS to build/rework and urgently ship 1200 pcs of the Gamora DC power supplies to FVN, in support of Juniper's Q1-2025 requirements. and, FVN to use this batch of power supplies for customer shipments.",02:03.0
